vtaxid,no human-to-human,limited human-to-human,sustained human-to-human,pred_label
3158245,0.3149,0.0394,0.6457,sustained human-to-human
336959,0.0741,0.0289,0.8970,sustained human-to-human
340187,0.0741,0.0289,0.8970,sustained human-to-human
341730,0.0543,0.0269,0.9188,sustained human-to-human
348136,0.0741,0.0289,0.8970,sustained human-to-human
354090,0.2913,0.2170,0.4917,sustained human-to-human
363747,0.1919,0.0357,0.7724,sustained human-to-human
37741,0.6608,0.1064,0.2328,no human-to-human
38016,0.0741,0.0289,0.8970,sustained human-to-human
384335,0.0741,0.0289,0.8970,sustained human-to-human
390157,0.0741,0.0289,0.8970,sustained human-to-human
394239,0.0741,0.0289,0.8970,sustained human-to-human
405554,0.1169,0.0334,0.8497,sustained human-to-human
430511,0.2593,0.1533,0.5874,sustained human-to-human
430911,0.0741,0.0289,0.8970,sustained human-to-human
433731,0.0585,0.0291,0.9124,sustained human-to-human
433732,0.0766,0.0315,0.8919,sustained human-to-human
46920,0.7507,0.0860,0.1633,no human-to-human
47681,0.1610,0.0252,0.8138,sustained human-to-human
481494,0.0741,0.0289,0.8970,sustained human-to-human
481495,0.0741,0.0289,0.8970,sustained human-to-human
481497,0.0741,0.0289,0.8970,sustained human-to-human
481503,0.1246,0.0317,0.8437,sustained human-to-human
481504,0.0741,0.0289,0.8970,sustained human-to-human
481510,0.0741,0.0289,0.8970,sustained human-to-human
481513,0.0741,0.0289,0.8970,sustained human-to-human
496406,0.0741,0.0289,0.8970,sustained human-to-human
496407,0.2716,0.0447,0.6838,sustained human-to-human
496408,0.0741,0.0289,0.8970,sustained human-to-human
496409,0.2716,0.0447,0.6838,sustained human-to-human
497343,0.5912,0.2097,0.1991,no human-to-human
497344,0.6511,0.1563,0.1926,no human-to-human
497915,0.0741,0.0289,0.8970,sustained human-to-human
537513,0.0741,0.0289,0.8970,sustained human-to-human
537514,0.0741,0.0289,0.8970,sustained human-to-human
537516,0.0741,0.0289,0.8970,sustained human-to-human
537517,0.0741,0.0289,0.8970,sustained human-to-human
537524,0.0741,0.0289,0.8970,sustained human-to-human
537526,0.0741,0.0289,0.8970,sustained human-to-human
537528,0.0741,0.0289,0.8970,sustained human-to-human
537530,0.0741,0.0289,0.8970,sustained human-to-human
537531,0.0741,0.0289,0.8970,sustained human-to-human
537534,0.0741,0.0289,0.8970,sustained human-to-human
537535,0.0741,0.0289,0.8970,sustained human-to-human
537539,0.5193,0.0381,0.4426,no human-to-human
537543,0.0741,0.0289,0.8970,sustained human-to-human
537547,0.0741,0.0289,0.8970,sustained human-to-human
537550,0.0741,0.0289,0.8970,sustained human-to-human
537551,0.0741,0.0289,0.8970,sustained human-to-human
537552,0.0741,0.0289,0.8970,sustained human-to-human
537553,0.0741,0.0289,0.8970,sustained human-to-human
537555,0.4091,0.0379,0.5529,sustained human-to-human
537557,0.0741,0.0289,0.8970,sustained human-to-human
537558,0.0741,0.0289,0.8970,sustained human-to-human
537559,0.0741,0.0289,0.8970,sustained human-to-human
537560,0.0741,0.0289,0.8970,sustained human-to-human
537561,0.0741,0.0289,0.8970,sustained human-to-human
537563,0.0741,0.0289,0.8970,sustained human-to-human
537565,0.5193,0.0381,0.4426,no human-to-human
537566,0.0741,0.0289,0.8970,sustained human-to-human
537570,0.0741,0.0289,0.8970,sustained human-to-human
537573,0.0741,0.0289,0.8970,sustained human-to-human
537574,0.0741,0.0289,0.8970,sustained human-to-human
537577,0.0741,0.0289,0.8970,sustained human-to-human
537578,0.3756,0.0381,0.5863,sustained human-to-human
537584,0.0741,0.0289,0.8970,sustained human-to-human
537587,0.0741,0.0289,0.8970,sustained human-to-human
537588,0.0741,0.0289,0.8970,sustained human-to-human
537589,0.0741,0.0289,0.8970,sustained human-to-human
537591,0.0741,0.0289,0.8970,sustained human-to-human
546676,0.0741,0.0289,0.8970,sustained human-to-human
546677,0.0741,0.0289,0.8970,sustained human-to-human
546678,0.0741,0.0289,0.8970,sustained human-to-human
546679,0.0741,0.0289,0.8970,sustained human-to-human
546680,0.0741,0.0289,0.8970,sustained human-to-human
546681,0.0741,0.0289,0.8970,sustained human-to-human
546682,0.0741,0.0289,0.8970,sustained human-to-human
546683,0.0741,0.0289,0.8970,sustained human-to-human
546685,0.0741,0.0289,0.8970,sustained human-to-human
546687,0.0741,0.0289,0.8970,sustained human-to-human
546688,0.0741,0.0289,0.8970,sustained human-to-human
546689,0.0741,0.0289,0.8970,sustained human-to-human
546691,0.0741,0.0289,0.8970,sustained human-to-human
546692,0.0741,0.0289,0.8970,sustained human-to-human
546693,0.0741,0.0289,0.8970,sustained human-to-human
546694,0.0741,0.0289,0.8970,sustained human-to-human
546696,0.0741,0.0289,0.8970,sustained human-to-human
546697,0.0741,0.0289,0.8970,sustained human-to-human
546698,0.0741,0.0289,0.8970,sustained human-to-human
546699,0.0741,0.0289,0.8970,sustained human-to-human
546700,0.0741,0.0289,0.8970,sustained human-to-human
546701,0.0741,0.0289,0.8970,sustained human-to-human
546702,0.0741,0.0289,0.8970,sustained human-to-human
546703,0.0741,0.0289,0.8970,sustained human-to-human
546709,0.0741,0.0289,0.8970,sustained human-to-human
546710,0.0741,0.0289,0.8970,sustained human-to-human
546711,0.0741,0.0289,0.8970,sustained human-to-human
546714,0.0741,0.0289,0.8970,sustained human-to-human
546715,0.0741,0.0289,0.8970,sustained human-to-human
546721,0.0741,0.0289,0.8970,sustained human-to-human
546722,0.0717,0.0284,0.9000,sustained human-to-human
546723,0.0741,0.0289,0.8970,sustained human-to-human
546725,0.0741,0.0289,0.8970,sustained human-to-human
546726,0.0741,0.0289,0.8970,sustained human-to-human
546727,0.0741,0.0289,0.8970,sustained human-to-human
546728,0.0741,0.0289,0.8970,sustained human-to-human
546729,0.0741,0.0289,0.8970,sustained human-to-human
56094,0.0741,0.0289,0.8970,sustained human-to-human
57667,0.0916,0.0244,0.8840,sustained human-to-human
586421,0.0741,0.0289,0.8970,sustained human-to-human
595895,0.0741,0.0289,0.8970,sustained human-to-human
611726,0.0741,0.0289,0.8970,sustained human-to-human
611728,0.0741,0.0289,0.8970,sustained human-to-human
611730,0.0741,0.0289,0.8970,sustained human-to-human
611734,0.0741,0.0289,0.8970,sustained human-to-human
611737,0.0741,0.0289,0.8970,sustained human-to-human
611738,0.0741,0.0289,0.8970,sustained human-to-human
611739,0.0741,0.0289,0.8970,sustained human-to-human
611740,0.0741,0.0289,0.8970,sustained human-to-human
611741,0.0741,0.0289,0.8970,sustained human-to-human
611757,0.0741,0.0289,0.8970,sustained human-to-human
611758,0.0741,0.0289,0.8970,sustained human-to-human
611759,0.0741,0.0289,0.8970,sustained human-to-human
611761,0.0741,0.0289,0.8970,sustained human-to-human
611762,0.0741,0.0289,0.8970,sustained human-to-human
611763,0.0741,0.0289,0.8970,sustained human-to-human
611764,0.0741,0.0289,0.8970,sustained human-to-human
630716,0.0741,0.0289,0.8970,sustained human-to-human
630718,0.0741,0.0289,0.8970,sustained human-to-human
631345,0.0741,0.0289,0.8970,sustained human-to-human
641884,0.5912,0.0696,0.3392,no human-to-human
64318,0.0438,0.0319,0.9243,sustained human-to-human
644610,0.6292,0.1222,0.2486,no human-to-human
