feature,class,shap_importance
P20674,3,0.002302409840304054
O15042,2,0.002279587597029753
Q96ED9,3,0.002279478089537012
P63261,3,0.0022767086062728493
Q15428,4,0.0022600938840907875
Q07666,3,0.002248509416153346
P98172,4,0.0022481255222836696
Q9NPF5,2,0.0022452299450991995
P17066,4,0.0022392129879258652
Q9BUZ4,3,0.0022336260047559017
Q27J81,3,0.0022240619698468897
Q96FW1,3,0.0022148707178703477
P47929,3,0.002213580009486221
P35680,4,0.0022102830796930555
P16989,4,0.002206816538560488
Q7Z2W4,3,0.00220592720356562
Q8N5R6,3,0.002199117217417508
Q9NZC7,2,0.002184004782115521
Q9BUF5,4,0.0021822263390308327
Q9UNH7,3,0.0021686000907343893
O60674,4,0.0021683301870173166
P32322,4,0.002155245303804536
P29692,4,0.0021480949839800556
P35680,2,0.0021374276492800567
Q8NHP6,3,0.002133123681161276
Q8N137,2,0.002129475021113577
O00499,2,0.0021203736999602764
P49790,4,0.002088940887338
Q27J81,4,0.0020831191941808056
P10276,2,0.0020776611943335963
Q8N6Y0,4,0.0020755244194322156
Q96B97,4,0.0020720629832958314
Q15427,4,0.002070101524727751
Q06609,4,0.0020680049943919256
Q9Y2J4,4,0.00206798140553993
P52815,4,0.002065948655938392
P63151,4,0.0020510784480863836
Q5SW79,2,0.002045165322996586
P33991,4,0.002023569023916613
P07384,2,0.0020116615292372093
P42336,3,0.0020059759741378764
P48165,4,0.001991769673960041
Q9Y2J4,2,0.0019910827574992004
Q07666,2,0.001985779192964212
Q2NL82,4,0.001980262610353993
Q8N2W9,4,0.001966841244545132
O15357,4,0.001959826884283875
P55884,4,0.001959636628353385
P31323,2,0.0019508436920521134
Q6Y7W6,4,0.0019483984567834007
P58340,2,0.0019454704575172911
Q9NZC7,4,0.0019443618288549189
P49790,2,0.0019422538619521537
Q92614,2,0.001941310632605098
Q15139,4,0.0019406473871557111
P06213,4,0.0019156187000002206
Q8N137,4,0.0019154243015366515
O75147,3,0.0019103664049209513
O60674,2,0.0019031630815446875
Q15428,2,0.0018973659852585879
P08581,4,0.0018865259892827237
Q13418,2,0.0018815828827861134
P55854,3,0.0018714308055944669
P07384,4,0.001863691369312009
P27449,4,0.0018603247291868515
Q9Y5L0,2,0.0018549302877332843
P29692,2,0.0018521019339038272
O15169,4,0.0018468589672434343
O75376,4,0.0018465862470403045
O95071,4,0.0018434518452110956
P43405,4,0.0018369496606148931
Q15139,2,0.0018345259184600004
O75376,2,0.0018343789093230414
Q13042,2,0.0018336600310230656
O75386,4,0.0018284349019079685
Q96B97,2,0.001809958174308798
Q15276,3,0.0017992503045184097
P17174,2,0.001798302552643875
P62910,4,0.0017974901523511548
O75478,4,0.001794255148292035
Q5SW79,4,0.0017916545487875433
Q96FW1,2,0.001790514249643932
O75478,2,0.0017749482699826442
Q14457,4,0.0017640881321716597
O15042,4,0.0017508260424923276
Q15022,3,0.001746098909171574
Q9Y5L0,4,0.0017422315547194148
O15169,2,0.001723601761690719
Q13526,3,0.0017227522391428858
P10276,4,0.0017224385816445927
P58340,4,0.0017144327278878519
Q06609,3,0.0017128637482165749
Q13315,3,0.0016863777190260166
O95858,2,0.0016687140777600646
Q02539,3,0.0016685332001150413
Q8N2W9,2,0.001661119309432622
P47897,2,0.0016477919565454984
Q96EV8,2,0.0016468596235738276
Q99496,3,0.0016306255882921937
P27449,2,0.0016237024496045028
Q96KQ4,2,0.0016160997950306968
Q9H8Y8,4,0.0016080924073793449
P33991,2,0.0016018363926248798
P62910,2,0.0016018179109618372
P10398,4,0.0015953190770540832
P51812,4,0.0015824774968590625
Q07157,2,0.0015757412881478672
Q9UI12,3,0.0015681532862968435
Q969Q1,3,0.0015611947211493845
Q9BYJ9,3,0.0015574361894156526
Q07666,4,0.0015540758410852568
P78347,4,0.0015540364709163235
Q15427,2,0.0015497476598226334
O95071,3,0.0015440921666938262
Q06609,2,0.0015334329701135257
Q16513,3,0.0015322350559684957
Q8IXI1,4,0.0015314504060111082
P51610,3,0.001502863748027372
P46778,3,0.0014966324050127394
P63261,4,0.0014949130880586284
P11274,3,0.0014944688890405878
Q13123,3,0.0014940212555736127
O43765,4,0.0014934960668122187
Q6P5Z2,4,0.0014921069891863444
Q9NR56,4,0.0014904824602955744
P42336,4,0.0014804762262282715
P41252,4,0.0014707219723610612
O14976,4,0.001469251159119832
Q9H8Y8,2,0.001462563812444858
P00533,4,0.0014623452351315539
