Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Transport (GO:0051050)	1/50	7.239397e-02	1.469652e-01	0	0	1.401900e+01	3.680874e+01	CHCHD10
GO_Biological_Process_2023	Regulation Of Telomere Maintenance Via Telomerase (GO:0032210)	1/51	7.378886e-02	1.486790e-01	0	0	1.373793e+01	3.580857e+01	TERF2
GO_Biological_Process_2023	Cellular Response To Ionizing Radiation (GO:0071479)	1/52	7.518173e-02	1.492578e-01	0	0	1.346788e+01	3.485282e+01	TANK
GO_Biological_Process_2023	Positive Regulation Of Telomere Maintenance (GO:0032206)	1/52	7.518173e-02	1.492578e-01	0	0	1.346788e+01	3.485282e+01	TERF2
GO_Biological_Process_2023	Protein Homotetramerization (GO:0051289)	1/53	7.657257e-02	1.509094e-01	0	0	1.320822e+01	3.393875e+01	SSBP1
GO_Biological_Process_2023	ERBB Signaling Pathway (GO:0038127)	1/54	7.796138e-02	1.514358e-01	0	0	1.295836e+01	3.306380e+01	PTPRR
GO_Biological_Process_2023	Ribosomal Large Subunit Biogenesis (GO:0042273)	1/54	7.796138e-02	1.514358e-01	0	0	1.295836e+01	3.306380e+01	EBNA1BP2
GO_Biological_Process_2023	Positive Regulation Of Tyrosine Phosphorylation Of STAT Protein (GO:0042531)	1/55	7.934818e-02	1.520645e-01	0	0	1.271775e+01	3.222564e+01	TNFRSF1A
GO_Biological_Process_2023	Protein Transport (GO:0015031)	2/313	7.973455e-02	1.520645e-01	0	0	4.515158e+00	1.141907e+01	HERC2;STX17
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	1/56	8.073297e-02	1.520645e-01	0	0	1.248589e+01	3.142210e+01	CCDC8
GO_Biological_Process_2023	Positive Regulation Of Interleukin-1 Beta Production (GO:0032731)	1/57	8.211574e-02	1.520645e-01	0	0	1.226232e+01	3.065120e+01	AIM2
GO_Biological_Process_2023	Positive Regulation Of Mitochondrion Organization (GO:0010822)	1/58	8.349650e-02	1.520645e-01	0	0	1.204658e+01	2.991107e+01	CHCHD10
