vtaxid,Genome Type,Virulence,Transmissibility,Tissue Tropism,Transmission Route,virulence
1914576,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1933176,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1933263,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1972587,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1986118,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
1987124,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2044876,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2053898,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2094719,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2169479,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2219046,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2219997,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2269360,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
235406,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2364099,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2499678,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2501947,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2516502,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2602438,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2716315,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2831046,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2844304,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
286540,ssRNA(-),high level,no human-to-human,viraemic,respiratory,low level
2936928,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
295016,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
2994337,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3047346,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3047369,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3047370,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3047809,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3047952,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3048166,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3048206,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3048297,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3048318,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3048439,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3050329,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052316,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052329,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052343,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052370,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052380,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052393,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052394,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052400,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052404,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
3052421,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052424,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052441,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052445,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
3052457,ssRNA(-),low level,no human-to-human,gastrointestinal,faecal-oral,low level
3052467,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052492,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052509,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052521,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052538,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052616,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052618,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052620,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052621,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052625,ssRNA(+),low level,sustained human-to-human,gastrointestinal,vector,low level
3052626,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052637,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052661,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,high level
3052809,ssRNA(+/-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3052826,ssRNA(-),low level,no human-to-human,gastrointestinal,vector,low level
3060496,ssRNA(-),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
3060507,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
308159,ssRNA(-),high level,no human-to-human,viraemic,faecal-oral,low level
3158245,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
336959,ssRNA(+),low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
348136,dsRNA,low level,sustained human-to-human,gastrointestinal,faecal-oral,low level
37741,ssRNA(-),high level,no human-to-human,viraemic,direct contact,high level
