feature	shap_importance	GeneSymbol	ReactomeCategory
Q99613	0.0007572793270353	EIF3C	Metabolism of proteins
Q8TDX7	0.000755681259246	NEK7	Cell Cycle
Q15393	0.0007499997967328	SF3B3	Metabolism of RNA
Q9HBL7	0.0007482991562246	PLGRKT	Other
P63151	0.0007477888428265	PPP2R2A	Metabolism of RNA
Q04864	0.0007455683521436	REL	Immune System
P52815	0.0007448729337453	MRPL12	Metabolism of proteins
P06241	0.0007445991184946	FYN	Disease
O95817	0.0007390460354668	BAG3	Cellular responses to stimuli
Q9NRR5	0.0007373046253117	UBQLN4	Other
P53621	0.0007362770411267	COPA	Metabolism of proteins
P33993	0.0007358251064157	MCM7	Cell Cycle
P55854	0.0007350784563414	SUMO3	Other
P54707	0.0007344956311872	ATP12A	Transport of small molecules
Q93084	0.0007257129685922	ATP2A3	Signal Transduction
Q15262	0.0007250329477774	PTPRK	Signal Transduction
P24928	0.0007244395046887	POLR2A	Metabolism of RNA
P02794	0.0007230039286851	FTH1	Immune System
Q8IY81	0.000722997419181	FTSJ3	Metabolism of RNA
Q7Z434	0.0007224798440056	MAVS	Disease
O14672	0.0007213133426248	ADAM10	Disease
Q96GQ7	0.0007204560777697	DDX27	Other
O00159	0.0007201705114688	MYO1C	Other
P02647	0.0007196268665689	APOA1	Disease
P06703	0.0007178545997237	S100A6	Other
P48431	0.0007150706156385	SOX2	Gene expression (Transcription)
P19012	0.0007150283302751	KRT15	Developmental Biology
Q03135	0.0007083416664738	CAV1	Disease
Q9Y6H1	0.0007021829613851	CHCHD2	Protein localization
P27708	0.0006999665562773	CAD	Other
P67936	0.0006962582583813	TPM4	Disease
O75190	0.000695979679766	DNAJB6	Cellular responses to stimuli
Q9Y3B7	0.0006945978640671	MRPL11	Metabolism of proteins
Q15006	0.0006859212581795	EMC2	Other
Q8TAP4	0.0006708184702856	LMO3	Other
Q9BYJ9	0.0006679821393641	YTHDF1	Other
P09661	0.000667698747768	SNRPA1	Metabolism of RNA
Q7Z6Z7	0.0006657983678977	HUWE1	Immune System
O95478	0.0006650367270296	NSA2	Other
Q9UJV8	0.0006620783484889	PURG	Other
P20700	0.0006617569046794	LMNB1	Disease
Q14192	0.0006595910622266	FHL2	Metabolism
Q96A72	0.0006585857600067	MAGOHB	Metabolism of RNA
Q5SSJ5	0.0006570296078542	HP1BP3	Other
Q13131	0.0006543592169416	PRKAA1	Gene expression (Transcription)
O43242	0.0006471623135622	PSMD3	Metabolism of RNA
Q99615	0.000645995455838	DNAJC7	Cellular responses to stimuli
Q00613	0.0006454575504736	HSF1	Cellular responses to stimuli
O95071	0.0006435616020271	UBR5	Other
P30260	0.0006381090813919	CDC27	Disease
Q9Y2V7	0.0006374463229154	COG6	Metabolism of proteins
P30154	0.0006348155192632	PPP2R1B	Disease
Q15428	0.0006319815516423	SF3A2	Metabolism of RNA
P08727	0.0006318289725462	KRT19	Developmental Biology
Q92526	0.0006318149870076	CCT6B	Metabolism of proteins
P35579	0.0006275810011928	MYH9	Disease
Q92499	0.000625189893352	DDX1	Metabolism of RNA
Q9H0E2	0.0006181018185558	TOLLIP	Immune System
Q13503	0.0006175967019682	MED21	Developmental Biology
P62875	0.0006158622472989	POLR2L	Metabolism of RNA
P83105	0.000605607049777	HTRA4	Other
Q04724	0.0006036508598115	TLE1	Signal Transduction
Q15287	0.0006009100582689	RNPS1	Metabolism of RNA
P41218	0.0006003277975232	MNDA	Immune System
P43243	0.000596135764778	MATR3	Other
P41091	0.0005931896724054	EIF2S3	Cellular responses to stimuli
P55060	0.0005893126080629	CSE1L	Other
P62857	0.0005791496447871	RPS28	Metabolism of RNA
Q02539	0.000576440346387	H1-1	Programmed Cell Death
P16402	0.0005755684578595	H1-3	Programmed Cell Death
Q96A08	0.0005575293584103	H2BC1	Disease
O76021	0.0005546893116437	RSL1D1	Other
Q15029	0.0005513279744965	EFTUD2	Metabolism of RNA
Q13573	0.0005511020557619	SNW1	Metabolism of RNA
O00505	0.0005386133464417	KPNA3	Disease
P04844	0.0005381532693277	RPN2	Disease
Q12874	0.0005333242279193	SF3A3	Metabolism of RNA
P07947	0.0005278020310078	YES1	Disease
Q9UMS4	0.0005272678778161	PRPF19	Metabolism of RNA
P63173	0.0005245647483086	RPL38	Metabolism of RNA
Q4V328	0.000517492479134	GRIPAP1	Other
P54646	0.0005139094516017	PRKAA2	Gene expression (Transcription)
P53350	0.0005084797696281	PLK1	Signal Transduction
P04899	0.0005015598549384	GNAI2	Disease
P53618	0.000500304960719	COPB1	Metabolism of proteins
P61421	0.0004985555420903	ATP6V0D1	Cellular responses to stimuli
P28331	0.000498247777929	NDUFS1	Other
P22607	0.0004970154994367	FGFR3	Disease
O00410	0.0004965284349711	IPO5	Disease
P56524	0.0004768863905739	HDAC4	Disease
Q14164	0.0004734979198289	IKBKE	Disease
P52272	0.0004701531780004	HNRNPM	Metabolism of RNA
P42677	0.0004591202621744	RPS27	Metabolism of RNA
O75390	0.0004569265365016	CS	Metabolism
Q63ZY3	0.000454189095646	KANK2	Other
P48047	0.0004458892719899	ATP5PO	Other
P25054	0.0004430896249979	APC	Other
P11362	0.0004311857107398	FGFR1	Disease
O15350	0.0004272402080916	TP73	Programmed Cell Death
O43809	0.0004196206863958	NUDT21	Metabolism of RNA
P28066	0.0004129110705622	PSMA5	Metabolism of RNA
Q13526	0.0004124418447982	PIN1	Other
P05783	0.0004102029710042	KRT18	Developmental Biology
Q15836	0.0004093892866107	VAMP3	Signal Transduction
Q00325	0.0004028008813989	SLC25A3	Other
Q86VP6	0.0003912387563055	CAND1	Metabolism of proteins
P51665	0.0003785175482474	PSMD7	Metabolism of RNA
P02545	0.0003783436146332	LMNA	Disease
P37198	0.0003686944935693	NUP62	Metabolism of RNA
Q15149	0.0003574011207901	PLEC	Programmed Cell Death
Q9UHX1	0.000355497977406	PUF60	Metabolism of RNA
P83731	0.0003513463987682	RPL24	Other
Q15311	0.0003498142809132	RALBP1	Other
O15371	0.000339910869806	EIF3D	Metabolism of proteins
P51965	0.0003326800763949	UBE2E1	Disease
P31040	0.0003318138164255	SDHA	Other
P02768	0.0003267887110981	ALB	Cellular responses to stimuli
Q9C0B0	0.0003225438607996	UNK	Other
P07195	0.0003187961316323	LDHB	Metabolism
Q13363	0.0003117994255699	CTBP1	Disease
P53675	0.0003105038431434	CLTCL1	Developmental Biology
Q15323	0.0003055210657507	KRT31	Developmental Biology
P15924	0.0003054987931126	DSP	Other
O43765	0.00028898414724	SGTA	Protein localization
P78352	0.0002798365628513	DLG4	Other
Q13620	0.0002555189432428	CUL4B	Metabolism of proteins
Q07955	0.0002504869676014	SRSF1	Metabolism of RNA
Q16543	0.000240798545479	CDC37	Disease
P26447	0.0002313837894025	S100A4	Other
Q05513	0.0002076187355707	PRKCZ	Signal Transduction
O00231	0.0002049909365662	PSMD11	Metabolism of RNA
O00267	0.0001939091930806	SUPT5H	Metabolism of RNA
O00232	0.0001875139368901	PSMD12	Metabolism of RNA
P45983	0.0001590032925789	MAPK8	Disease
