vtaxid,prob_gastrointestinal,prob_neural,prob_other,prob_respiratory,prob_systemic,prob_viraemic,pred_label
2219046,0.8505,0.0292,0.0686,0.0089,0.0041,0.0387,gastrointestinal
2219047,0.8490,0.0291,0.0698,0.0089,0.0042,0.0390,gastrointestinal
2219048,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2219052,0.8522,0.0291,0.0650,0.0089,0.0043,0.0406,gastrointestinal
2219053,0.8522,0.0283,0.0686,0.0089,0.0041,0.0379,gastrointestinal
2219997,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2269360,0.8210,0.0290,0.0927,0.0096,0.0043,0.0434,gastrointestinal
235406,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2364099,0.8490,0.0291,0.0698,0.0089,0.0042,0.0390,gastrointestinal
2497867,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2499678,0.8421,0.0299,0.0749,0.0089,0.0044,0.0397,gastrointestinal
2501947,0.8497,0.0278,0.0719,0.0085,0.0041,0.0380,gastrointestinal
2516502,0.8558,0.0296,0.0631,0.0089,0.0043,0.0383,gastrointestinal
2602438,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2716315,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2778245,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778246,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778247,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778248,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778249,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778250,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778251,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778252,0.8429,0.0298,0.0759,0.0089,0.0042,0.0383,gastrointestinal
2778253,0.8490,0.0291,0.0698,0.0089,0.0042,0.0390,gastrointestinal
2831046,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
2844304,0.8706,0.0272,0.0682,0.0087,0.0038,0.0215,gastrointestinal
286540,0.0739,0.1458,0.1235,0.0855,0.1217,0.4495,viraemic
2936928,0.8466,0.0298,0.0705,0.0089,0.0042,0.0399,gastrointestinal
