feature,shap_importance,gene
Q8WUM4,0.0008015163064497,10015
Q9UEU0,0.0008008485155348,10490
Q15369,0.0008004674232149,6921
P27482,0.0007897276818903,810
Q14790,0.0007893123258073,841
P62273,0.0007847408648596,6235
Q96GG9,0.0007833058624038,54165
O95678,0.0007819162192285,9119
O94906,0.0007816073483514,24148
Q16082,0.0007794963219492,3316
P24863,0.0007776074191113,892
P31948,0.0007766830952462,10963
Q7Z3Y8,0.0007698935084166,342574
Q16666,0.0007662922516777,3428
Q99613,0.0007572793270353,8663
Q8TDX7,0.000755681259246,140609
Q15393,0.0007499997967328,23450
Q9HBL7,0.0007482991562246,55848
P63151,0.0007477888428265,5520
Q04864,0.0007455683521436,5966
P52815,0.0007448729337453,6182
P06241,0.0007445991184946,2534
O95817,0.0007390460354668,9531
Q9NRR5,0.0007373046253117,56893
P53621,0.0007362770411267,1314
P33993,0.0007358251064157,4176
P55854,0.0007350784563414,6612
P54707,0.0007344956311872,479
Q93084,0.0007257129685922,489
Q15262,0.0007250329477774,5796
P24928,0.0007244395046887,5430
P02794,0.0007230039286851,2495
Q8IY81,0.000722997419181,117246
Q7Z434,0.0007224798440056,57506
O14672,0.0007213133426248,102
Q96GQ7,0.0007204560777697,55661
O00159,0.0007201705114688,4641
P02647,0.0007196268665689,335
P06703,0.0007178545997237,6277
P48431,0.0007150706156385,6657
P19012,0.0007150283302751,3866
Q03135,0.0007083416664738,857
Q9Y6H1,0.0007021829613851,51142
P27708,0.0006999665562773,790
P67936,0.0006962582583813,7171
O75190,0.000695979679766,10049
Q9Y3B7,0.0006945978640671,65003
Q15006,0.0006859212581795,9694
Q8TAP4,0.0006708184702856,55885
Q9BYJ9,0.0006679821393641,54915
P09661,0.000667698747768,6627
Q7Z6Z7,0.0006657983678977,10075
O95478,0.0006650367270296,10412
Q9UJV8,0.0006620783484889,29942
P20700,0.0006617569046794,4001
Q14192,0.0006595910622266,2274
Q96A72,0.0006585857600067,55110
Q5SSJ5,0.0006570296078542,50809
Q13131,0.0006543592169416,5562
O43242,0.0006471623135622,5709
Q99615,0.000645995455838,7266
Q00613,0.0006454575504736,3297
O95071,0.0006435616020271,51366
P30260,0.0006381090813919,996
Q9Y2V7,0.0006374463229154,57511
P30154,0.0006348155192632,5519
Q15428,0.0006319815516423,8175
P08727,0.0006318289725462,3880
Q92526,0.0006318149870076,10693
P35579,0.0006275810011928,4627
Q92499,0.000625189893352,1653
Q9H0E2,0.0006181018185558,54472
Q13503,0.0006175967019682,9412
P62875,0.0006158622472989,5441
P83105,0.000605607049777,203100
Q04724,0.0006036508598115,7088
Q15287,0.0006009100582689,10921
P41218,0.0006003277975232,4332
P43243,0.000596135764778,9782
P41091,0.0005931896724054,1968
P55060,0.0005893126080629,1434
P62857,0.0005791496447871,6234
Q02539,0.000576440346387,3024
P16402,0.0005755684578595,3007
Q96A08,0.0005575293584103,255626
O76021,0.0005546893116437,26156
Q15029,0.0005513279744965,9343
Q13573,0.0005511020557619,22938
O00505,0.0005386133464417,3839
P04844,0.0005381532693277,6185
Q12874,0.0005333242279193,10946
P07947,0.0005278020310078,7525
Q9UMS4,0.0005272678778161,27339
P63173,0.0005245647483086,6169
Q4V328,0.000517492479134,56850
P54646,0.0005139094516017,5563
P53350,0.0005084797696281,5347
P04899,0.0005015598549384,2771
P53618,0.000500304960719,1315
P61421,0.0004985555420903,9114
P28331,0.000498247777929,4719
P22607,0.0004970154994367,2261
O00410,0.0004965284349711,3843
P56524,0.0004768863905739,9759
Q14164,0.0004734979198289,9641
P52272,0.0004701531780004,4670
