taxid	ppi_count_before
3052596	5899.0
3052598	6424.0
3052601	6892.0
3052602	12594.0
3052604	286.0
3052605	336.0
3052607	351.0
3052609	305.0
3052611	349.0
3052612	211.0
3052613	1077.0
3052614	386.0
3052616	574.0
3052618	650.0
3052620	683.0
3052622	613.0
3052625	640.0
3052626	660.0
3052627	2313.0
3052631	2202.0
3052633	2855.0
3052637	4184.0
3052679	4639.0
3052707	2918.0
3052717	5966.0
3052718	2484.0
3052720	2319.0
3052723	1655.0
3052724	1939.0
3052727	2126.0
3052729	6155.0
3052731	7615.0
3052733	6258.0
3052748	1604.0
3052762	7352.0
3052763	5276.0
3052764	4682.0
3052765	4862.0
3052767	5053.0
3052788	6311.0
3241440	17828.0
3241441	16543.0
