	Mollentze's study	Brierley's study	ViralZone	HVD	Virus-Host DB	VIRION
641884	0.0	0.0	0.0	1.0	0.0	0.0
642022	0.0	0.0	0.0	0.0	1.0	0.0
644610	0.0	0.0	0.0	1.0	0.0	0.0
645161	0.0	0.0	0.0	1.0	0.0	0.0
646294	0.0	0.0	0.0	1.0	0.0	0.0
647367	0.0	0.0	0.0	0.0	0.0	1.0
647369	0.0	0.0	0.0	0.0	0.0	1.0
647372	0.0	0.0	0.0	0.0	0.0	1.0
647374	0.0	0.0	0.0	0.0	0.0	1.0
648998	0.0	0.0	0.0	1.0	0.0	0.0
650036	0.0	0.0	0.0	1.0	0.0	0.0
652810	0.0	0.0	0.0	0.0	1.0	0.0
658667	0.0	0.0	0.0	1.0	0.0	0.0
659265	0.0	0.0	0.0	0.0	0.0	1.0
662948	0.0	0.0	0.0	1.0	0.0	0.0
682382	0.0	0.0	0.0	0.0	1.0	0.0
682383	0.0	0.0	0.0	1.0	0.0	0.0
682384	0.0	0.0	0.0	1.0	0.0	0.0
683172	0.0	0.0	0.0	0.0	1.0	0.0
683174	0.0	0.0	0.0	0.0	1.0	0.0
686195	0.0	0.0	0.0	1.0	0.0	0.0
686196	0.0	0.0	0.0	1.0	0.0	0.0
686197	0.0	0.0	0.0	1.0	0.0	0.0
686198	0.0	0.0	0.0	1.0	0.0	0.0
686199	0.0	0.0	0.0	0.0	0.0	1.0
686200	0.0	0.0	0.0	1.0	0.0	0.0
686201	0.0	0.0	0.0	1.0	0.0	0.0
687347	0.0	0.0	0.0	0.0	1.0	0.0
687350	0.0	0.0	0.0	0.0	1.0	0.0
687351	0.0	0.0	0.0	0.0	1.0	0.0
687355	0.0	0.0	0.0	0.0	1.0	0.0
687366	0.0	0.0	0.0	0.0	1.0	0.0
687367	0.0	0.0	0.0	0.0	1.0	0.0
688436	1.0	0.0	0.0	0.0	0.0	0.0
688450	0.0	0.0	0.0	1.0	0.0	0.0
688451	0.0	0.0	0.0	1.0	0.0	0.0
688452	0.0	0.0	0.0	1.0	0.0	0.0
688453	0.0	0.0	0.0	1.0	0.0	0.0
688454	0.0	0.0	0.0	1.0	0.0	0.0
688456	0.0	0.0	0.0	1.0	0.0	0.0
688457	0.0	0.0	0.0	1.0	0.0	0.0
688459	0.0	0.0	0.0	1.0	0.0	0.0
688461	0.0	0.0	0.0	1.0	0.0	0.0
688462	0.0	0.0	0.0	1.0	0.0	0.0
688463	0.0	0.0	0.0	1.0	0.0	0.0
688464	0.0	0.0	0.0	1.0	0.0	0.0
688466	0.0	0.0	0.0	1.0	0.0	0.0
694003	1.0	1.0	0.0	0.0	0.0	0.0
694009	1.0	1.0	0.0	0.0	0.0	0.0
694015	0.0	0.0	0.0	1.0	0.0	0.0
