interact_type	virus_unid	human_unid	VirusName	FamilyName
physical association	P03081	Q9NZM1	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q13033	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9BXX2	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9H307	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9UHD8	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	A6NMZ7	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P09486	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q96PZ2	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	O95754	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q6P996	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q99933	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8IY18	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	Q5VSL9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P29966	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8N9I9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	O43683	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q9DH70	P28347	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9BSL1	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03081	P46060	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9NXX6	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8IYM9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q910R7	P09874	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	O00635	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8NCJ5	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	O43186	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q910R7	P08047	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q9DH70	Q00403	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q8TDB6	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9P265	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	P20618	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	A6NHR9	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q98VM1	P09874	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q9BR77	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03070	Q6N069	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	Q98VM1	P08047	Macaca mulatta polyomavirus 1	Polyomaviridae
physical association	P03072	Q00577	Human polyomavirus 2	Polyomaviridae
physical association	P03089	P25490	Human polyomavirus 2	Polyomaviridae
physical association	P03072	P04637	Human polyomavirus 2	Polyomaviridae
physical association	P03072	P05412	Human polyomavirus 2	Polyomaviridae
physical association	P03086	Q99689	Human polyomavirus 2	Polyomaviridae
physical association	P03086	P67809	Human polyomavirus 2	Polyomaviridae
physical association	P68834	P67775	Mus musculus polyomavirus 1	Polyomaviridae
physical association	P03077	P29353	Mus musculus polyomavirus 1	Polyomaviridae
physical association	B8ZX49	Q96L73	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P09619	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P07858	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95817	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9UNE7	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O95297	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P09486	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9UNE7	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9GZR7	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q8N2K0	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q8IZ07	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P34932	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O95816	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O95470	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	O00629	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q7Z4N8	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	O95817	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	Q9H3P7	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P50281	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P30153	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q9P0L0	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q6NZI2	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q00341	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P62633	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX49	P17980	Human polyomavirus 5	Polyomaviridae
physical association	B8ZX42	Q12789	Human polyomavirus 5	Polyomaviridae
