vtaxid,prob_direct contact,prob_faecal-oral,prob_respiratory,prob_vector,pred_label
2778246,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778247,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778248,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778249,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778250,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778251,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778252,0.0975,0.8672,0.0155,0.0198,faecal-oral
2778253,0.0975,0.8672,0.0155,0.0198,faecal-oral
2831046,0.0975,0.8672,0.0155,0.0198,faecal-oral
2844304,0.0738,0.8893,0.0158,0.0211,faecal-oral
286540,0.2693,0.1435,0.5227,0.0645,respiratory
2936928,0.0975,0.8672,0.0155,0.0198,faecal-oral
295016,0.0975,0.8672,0.0155,0.0198,faecal-oral
2994337,0.0364,0.9092,0.0143,0.0400,faecal-oral
3047346,0.0975,0.8672,0.0155,0.0198,faecal-oral
3047369,0.0975,0.8672,0.0155,0.0198,faecal-oral
3047370,0.0975,0.8672,0.0155,0.0198,faecal-oral
3047809,0.0975,0.8672,0.0155,0.0198,faecal-oral
3047952,0.0975,0.8672,0.0155,0.0198,faecal-oral
3048166,0.0975,0.8672,0.0155,0.0198,faecal-oral
3048206,0.0969,0.8683,0.0171,0.0177,faecal-oral
3048297,0.0975,0.8672,0.0155,0.0198,faecal-oral
3048318,0.0975,0.8672,0.0155,0.0198,faecal-oral
3048439,0.0955,0.8604,0.0201,0.0241,faecal-oral
3050329,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052316,0.0464,0.9195,0.0143,0.0198,faecal-oral
3052329,0.0854,0.8797,0.0157,0.0192,faecal-oral
3052343,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052370,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052380,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052393,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052394,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052400,0.0941,0.8676,0.0161,0.0223,faecal-oral
3052404,0.1114,0.6599,0.0497,0.1790,faecal-oral
3052421,0.0995,0.8702,0.0153,0.0150,faecal-oral
3052424,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052441,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052445,0.0634,0.8903,0.0168,0.0295,faecal-oral
3052457,0.1086,0.8032,0.0416,0.0466,faecal-oral
3052467,0.1096,0.8478,0.0187,0.0239,faecal-oral
3052492,0.0802,0.8911,0.0146,0.0140,faecal-oral
3052509,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052521,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052538,0.0712,0.8950,0.0151,0.0187,faecal-oral
3052616,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052618,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052620,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052621,0.0975,0.8672,0.0155,0.0198,faecal-oral
3052625,0.1363,0.2864,0.1651,0.4123,vector
