feature,class,shap_importance
P15407,vector,0.004268312400799138
O75478,faecal-oral,0.004261555972399729
P60660,faecal-oral,0.004236947491476521
Q92925,faecal-oral,0.004220079669856689
Q14676,respiratory,0.004201281723262777
O43795,direct contact,0.004194169935109226
Q15262,faecal-oral,0.00418818269117933
Q15646,direct contact,0.0041865930106348955
P40937,direct contact,0.004186131592474575
Q7Z6Z7,vector,0.004179682131213498
O43889,faecal-oral,0.004176873478098183
Q27J81,vector,0.004174015537334178
P09012,direct contact,0.004165063315123988
P15927,direct contact,0.004161750189368166
Q96A08,vector,0.004152944391734962
Q6Y7W6,faecal-oral,0.004151023915858586
O95967,vector,0.00414944984709448
O14641,faecal-oral,0.004149211026807758
P05109,faecal-oral,0.004142740727740155
Q00987,faecal-oral,0.004141811636300134
Q96B97,direct contact,0.004130372164211825
P10415,direct contact,0.004125326382206819
Q5T1M5,respiratory,0.004124899198811641
P11171,faecal-oral,0.004120974607338613
Q15942,faecal-oral,0.004111769714864103
O15169,vector,0.004091029717690493
Q9Y297,vector,0.0040897673943734395
P46939,direct contact,0.004088949609396504
O60563,faecal-oral,0.004087667980836094
P61769,vector,0.004084659450936774
Q9Y2H9,vector,0.004081854806375026
Q6Y7W6,vector,0.0040749703126406545
Q86U86,faecal-oral,0.004074802357161877
Q8IYI6,vector,0.0040730521914074365
P15927,vector,0.004058904957688569
Q6PII3,faecal-oral,0.004057473671272862
O76024,direct contact,0.0040538105463730585
P51784,vector,0.00404448056337823
Q16637,vector,0.004040332516876915
P68032,vector,0.004036063792919611
P40937,vector,0.004035406177377022
O75947,direct contact,0.0040281351404068055
Q9UI47,vector,0.004022958253693633
P47897,direct contact,0.004016212832460287
P10415,faecal-oral,0.004012534062928858
Q49AN0,vector,0.004004004632175992
Q14161,vector,0.003992454255919928
P49768,vector,0.003986261137836139
Q13347,respiratory,0.003983098373580607
Q8WXF1,vector,0.0039764579039439415
P46939,faecal-oral,0.003962318802726482
Q07666,direct contact,0.003959393324303011
O95789,respiratory,0.003944458309229294
Q9Y3E0,respiratory,0.003925904808602455
Q13042,direct contact,0.003907328459134076
Q86XX4,respiratory,0.0039055335835192465
P59768,vector,0.003902753176394068
P37840,vector,0.0039024270875906444
P41252,direct contact,0.0039019542416838552
Q92633,respiratory,0.0039002568131177966
Q9NRD1,vector,0.003893995737855176
P11171,direct contact,0.0038727291947006563
A3KMH1,vector,0.0038706461180872116
Q6NZI2,faecal-oral,0.0038695915497262874
P05109,direct contact,0.003865013677532344
Q14108,faecal-oral,0.003861308107907257
Q16637,faecal-oral,0.0038532173668250256
Q92499,vector,0.003851305991877389
Q13042,vector,0.003843361945110109
Q9HAU4,direct contact,0.0038426726949865914
O00499,faecal-oral,0.0038410615173029338
P55854,direct contact,0.003841022383886715
P54252,vector,0.0038328898368243827
Q9BUE6,vector,0.0038251021953772924
Q5T7N2,vector,0.003823440630810063
Q96KQ4,vector,0.003802470763828763
Q9H0S4,respiratory,0.0038024295185802807
Q07666,vector,0.0038004485194061124
Q9H8W4,direct contact,0.0037995417087185526
Q8N2W9,respiratory,0.00379703288102951
Q9NPF5,respiratory,0.0037907276608195027
Q15006,direct contact,0.003782343177651994
Q14008,vector,0.0037763692313719103
Q15311,direct contact,0.003771573450487743
Q9BT17,respiratory,0.003764578463629069
P11171,vector,0.0037635064843107476
Q8IXI1,direct contact,0.003761954451446722
Q92614,respiratory,0.003761901634866633
Q8IXI1,vector,0.0037559692216852006
P68036,vector,0.0037530707025567526
Q9NY93,respiratory,0.003738969070154172
Q92973,direct contact,0.0037365259024772467
P60983,faecal-oral,0.0037315731787899015
